id,sleep_day,total_sleep_records,total_minutes_asleep,total_time_in_bed,activity_date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,day_of_the_week,total_hours_asleep,total_hours_in_bed,total_exercise_minutes,total_exercise_hours,Performance
1503960366,2016-04-13,2,384,407,2016-05-07,11992,7.71000003814697,7.71000003814697,0.0,2.46000003814697,2.11999988555908,3.13000011444092,0.0,37,46,175,833,1821,Saturday,6.0,7.0,1091,18.0,4.6
1503960366,2016-04-13,2,384,407,2016-05-06,12159,8.02999973297119,8.02999973297119,0.0,1.97000002861023,0.25,5.80999994277954,0.0,24,6,289,754,1896,Friday,6.0,7.0,1073,18.0,2.2
1503960366,2016-04-13,2,384,407,2016-05-01,10602,6.80999994277954,6.80999994277954,0.0,2.28999996185303,1.60000002384186,2.92000007629395,0.0,33,35,246,730,1820,Sunday,6.0,7.0,1044,17.0,3.9
1503960366,2016-04-13,2,384,407,2016-04-30,14673,9.25,9.25,0.0,3.55999994277954,1.41999995708466,4.26999998092651,0.0,52,34,217,712,1947,Saturday,6.0,7.0,1015,17.0,5.0
1503960366,2016-04-13,2,384,407,2016-04-12,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,Tuesday,6.0,7.0,1094,18.0,2.4
1503960366,2016-04-13,2,384,407,2016-04-13,10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797,Wednesday,6.0,7.0,1033,17.0,2.3
1503960366,2016-04-13,2,384,407,2016-04-25,15355,9.80000019073486,9.80000019073486,0.0,5.28999996185303,0.569999992847443,3.94000005722046,0.0,73,14,216,814,2013,Monday,6.0,7.0,1117,19.0,5.9
1503960366,2016-04-13,2,384,407,2016-05-05,14070,8.89999961853027,8.89999961853027,0.0,2.92000007629395,1.08000004291534,4.88000011444092,0.0,45,24,250,857,1959,Thursday,6.0,7.0,1176,20.0,4.0
1503960366,2016-04-13,2,384,407,2016-04-28,13154,8.52999973297119,8.52999973297119,0.0,3.53999996185303,1.1599999666214,3.78999996185303,0.0,48,28,189,782,1898,Thursday,6.0,7.0,1047,17.0,4.7
1503960366,2016-04-13,2,384,407,2016-04-29,11181,7.15000009536743,7.15000009536743,0.0,1.05999994277954,0.5,5.57999992370605,0.0,16,12,243,815,1837,Friday,6.0,7.0,1086,18.0,1.6
